Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.0002
Horizontal Delay,0
Sample Interval,2e-07
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Vertical Position,0
,
,
,
Label,
TIME,CH1
-8.496e-04,4.91281
-8.494e-04,4.91375
-8.492e-04,4.91312
-8.490e-04,4.91031
-8.488e-04,4.91
-8.486e-04,4.91031
-8.484e-04,4.90375
-8.482e-04,4.91406
-8.480e-04,4.91188
-8.478e-04,4.91437
-8.476e-04,4.90219
-8.474e-04,4.90781
-8.472e-04,4.91531
-8.470e-04,4.9125
-8.468e-04,4.915
-8.466e-04,4.915
-8.464e-04,4.91375
-8.462e-04,4.91
-8.460e-04,4.91312
-8.458e-04,4.91094
-8.456e-04,4.91656
-8.454e-04,4.91469
-8.452e-04,4.91188
-8.450e-04,4.91094
-8.448e-04,4.91219
-8.446e-04,4.91719
-8.444e-04,4.91781
-8.442e-04,4.91125
-8.440e-04,4.92
-8.438e-04,4.90781
-8.436e-04,4.91312
-8.434e-04,4.91125
-8.432e-04,4.91156
-8.430e-04,4.91656
-8.428e-04,4.915
-8.426e-04,4.91969
-8.424e-04,4.92063
-8.422e-04,4.91875
-8.420e-04,4.92594
-8.418e-04,4.90344
-8.416e-04,4.92344
-8.414e-04,4.90844
-8.412e-04,4.9225
-8.410e-04,4.9125
-8.408e-04,4.91281
-8.406e-04,4.91312
-8.404e-04,4.91563
-8.402e-04,4.91156
-8.400e-04,4.91281
-8.398e-04,4.91469
-8.396e-04,4.90688
-8.394e-04,4.90875
-8.392e-04,4.91531
-8.390e-04,4.91531
-8.388e-04,4.90969
-8.386e-04,4.91094
-8.384e-04,4.91594
-8.382e-04,4.905
-8.380e-04,4.90656
-8.378e-04,4.91531
-8.376e-04,4.9125
-8.374e-04,4.91156
-8.372e-04,4.91563
-8.370e-04,4.90594
-8.368e-04,4.90062
-8.366e-04,4.91
-8.364e-04,4.90813
-8.362e-04,4.92031
-8.360e-04,4.91156
-8.358e-04,4.91625
-8.356e-04,4.90594
-8.354e-04,4.90813
-8.352e-04,4.90719
-8.350e-04,4.91406
-8.348e-04,4.89781
-8.346e-04,4.90562
-8.344e-04,4.90813
-8.342e-04,4.91312
-8.340e-04,4.90313
-8.338e-04,4.89969
-8.336e-04,4.905
-8.334e-04,4.91719
-8.332e-04,4.90813
-8.330e-04,4.90969
-8.328e-04,4.91531
-8.326e-04,4.90813
-8.324e-04,4.91219
-8.322e-04,4.91531
